Metagene,Cell type
TNF,M1 macrophages
CD163,M2 macrophages
CD68,M2 macrophages
CSF1R,M2 macrophages
IL10,M2 macrophages
IL4I1,M2 macrophages
MRC1,M2 macrophages
MSR1,M2 macrophages
SIGLEC1,M2 macrophages
CCL17,DCs
CCL22,DCs
CD209,DCs
CCL13,DCs
CD83,aDCs
LAMP3,aDCs
CCL1,aDCs
CD1A,iDCs
CD1E,iDCs
CLEC4C,pDCs
CXCR3,pDCs
GZMB,pDCs
IL3RA,pDCs
IRF7,pDCs
IRF8,pDCs
LILRA4,pDCs
PHEX,pDCs
PLD4,pDCs
PTCRA,pDCs
ARG1,MDSCs
CYBB,MDSCs
IDO1,MDSCs
IL10,MDSCs
IL4I1,MDSCs
IL6,MDSCs
PTGS2,MDSCs
CD177,Neutrophils
CTSG,Neutrophils
CXCR1,Neutrophils
CXCR2,Neutrophils
ELANE,Neutrophils
FCGR3B,Neutrophils
FFAR2,Neutrophils
MPO,Neutrophils
PGLYRP1,Neutrophils
PRTN3,Neutrophils
CMA1,Mast cells
MS4A2,Mast cells
TPSAB1,Mast cells
BTLA,T cell co inhibition
C10orf54,T cell co inhibition
CD160,T cell co inhibition
CD244,T cell co inhibition
CD274,T cell co inhibition
CTLA4,T cell co inhibition
HAVCR2,T cell co inhibition
LAG3,T cell co inhibition
LAIR1,T cell co inhibition
TIGIT,T cell co inhibition
CD2,T cell co stimulation
CD226,T cell co stimulation
CD27,T cell co stimulation
CD28,T cell co stimulation
CD40LG,T cell co stimulation
ICOS,T cell co stimulation
SLAMF1,T cell co stimulation
TNFRSF18,T cell co stimulation
TNFRSF25,T cell co stimulation
TNFRSF4,T cell co stimulation
TNFRSF8,T cell co stimulation
TNFRSF9,T cell co stimulation
TNFSF14,T cell co stimulation
ARL4C,Cancer Stem Cells
ASCL2,Cancer Stem Cells
ASRGL1,Cancer Stem Cells
BCL2,Cancer Stem Cells
BEX1,Cancer Stem Cells
BEX4,Cancer Stem Cells
C13ORF15,Cancer Stem Cells
CBS,Cancer Stem Cells
CD44,Cancer Stem Cells
CENPF,Cancer Stem Cells
CHST11,Cancer Stem Cells
CYP11A1,Cancer Stem Cells
CYP2E1,Cancer Stem Cells
DCLK1,Cancer Stem Cells
E330027M22RIK,Cancer Stem Cells
EPHB3,Cancer Stem Cells
ESAM,Cancer Stem Cells
FAM49A,Cancer Stem Cells
FSTL1,Cancer Stem Cells
FZD2,Cancer Stem Cells
HEBP2,Cancer Stem Cells
IGFBP4,Cancer Stem Cells
KIF26B,Cancer Stem Cells
KLHL8,Cancer Stem Cells
LFNG,Cancer Stem Cells
LGR5,Cancer Stem Cells
LIMCH1,Cancer Stem Cells
MARVELD1,Cancer Stem Cells
MEX3A,Cancer Stem Cells
MPP3,Cancer Stem Cells
NAV1,Cancer Stem Cells
PCDH8,Cancer Stem Cells
PHGDH,Cancer Stem Cells
PRICKLE1,Cancer Stem Cells
PSRC1,Cancer Stem Cells
PTHLH,Cancer Stem Cells
PTPRO,Cancer Stem Cells
PVT1,Cancer Stem Cells
PXDN,Cancer Stem Cells
RASSF5,Cancer Stem Cells
SCN2B,Cancer Stem Cells
SLC14A1,Cancer Stem Cells
SLC1A2,Cancer Stem Cells
SLCO3A1,Cancer Stem Cells
SOAT1,Cancer Stem Cells
SORCS2,Cancer Stem Cells
ST3GAL3,Cancer Stem Cells
TACC1,Cancer Stem Cells
TEAD2,Cancer Stem Cells
TGIF2,Cancer Stem Cells
TUBB2B,Cancer Stem Cells
VAV3,Cancer Stem Cells
CTNNB1,Mesenchymal stem cell
FZD1,Mesenchymal stem cell
GSK3B,Mesenchymal stem cell
LTBP3,Mesenchymal stem cell
MIR346,Mesenchymal stem cell
PDGFRA,Mesenchymal stem cell
REST,Mesenchymal stem cell
SLC4A11,Mesenchymal stem cell
SOX5,Mesenchymal stem cell
SOX6,Mesenchymal stem cell
SOX9,Mesenchymal stem cell
WNT3,Mesenchymal stem cell
ACVR1,Mesenchymal cell
ADAM15,Mesenchymal cell
ADIPOR1,Mesenchymal cell
AKNA,Mesenchymal cell
ALDH1A2,Mesenchymal cell
ALX1,Mesenchymal cell
AMELX,Mesenchymal cell
AMER1,Mesenchymal cell
ANXA6,Mesenchymal cell
AXIN2,Mesenchymal cell
BAMBI,Mesenchymal cell
BCL2,Mesenchymal cell
BCL9L,Mesenchymal cell
BMP2,Mesenchymal cell
BMP4,Mesenchymal cell
BMP5,Mesenchymal cell
BMP7,Mesenchymal cell
BMPR1A,Mesenchymal cell
CDH2,Mesenchymal cell
CLASP1,Mesenchymal cell
CLASP2,Mesenchymal cell
COL1A1,Mesenchymal cell
CORO1C,Mesenchymal cell
CRB2,Mesenchymal cell
CTNNB1,Mesenchymal cell
CUL7,Mesenchymal cell
CYP26C1,Mesenchymal cell
DAB2,Mesenchymal cell
DAB2IP,Mesenchymal cell
DACT3,Mesenchymal cell
DAG1,Mesenchymal cell
DDX17,Mesenchymal cell
DDX5,Mesenchymal cell
DLG5,Mesenchymal cell
EDN1,Mesenchymal cell
EDN3,Mesenchymal cell
EDNRA,Mesenchymal cell
EDNRB,Mesenchymal cell
EFNA1,Mesenchymal cell
EFNB1,Mesenchymal cell
ELL3,Mesenchymal cell
ENG,Mesenchymal cell
EOMES,Mesenchymal cell
EPB41L5,Mesenchymal cell
EPHA3,Mesenchymal cell
ERBB4,Mesenchymal cell
EXT1,Mesenchymal cell
EZH2,Mesenchymal cell
FAM172A,Mesenchymal cell
FAM83D,Mesenchymal cell
FBXL17,Mesenchymal cell
FERMT2,Mesenchymal cell
FGF10,Mesenchymal cell
FGF8,Mesenchymal cell
FGFR1,Mesenchymal cell
FGFR2,Mesenchymal cell
FLNA,Mesenchymal cell
FN1,Mesenchymal cell
FOLR1,Mesenchymal cell
FOXA1,Mesenchymal cell
FOXA2,Mesenchymal cell
FOXC1,Mesenchymal cell
FOXC2,Mesenchymal cell
FOXF2,Mesenchymal cell
FRZB,Mesenchymal cell
FUZ,Mesenchymal cell
GATA3,Mesenchymal cell
GATA5,Mesenchymal cell
GBX2,Mesenchymal cell
GCNT2,Mesenchymal cell
GDNF,Mesenchymal cell
GLIPR2,Mesenchymal cell
GREM1,Mesenchymal cell
GSC,Mesenchymal cell
GSK3B,Mesenchymal cell
HAND2,Mesenchymal cell
HAS2,Mesenchymal cell
HDAC2,Mesenchymal cell
HES1,Mesenchymal cell
HEY1,Mesenchymal cell
HEY2,Mesenchymal cell
HEYL,Mesenchymal cell
HGF,Mesenchymal cell
HIF1A,Mesenchymal cell
HMGA2,Mesenchymal cell
HNRNPAB,Mesenchymal cell
HPN,Mesenchymal cell
HTR2B,Mesenchymal cell
IL17RD,Mesenchymal cell
IL1B,Mesenchymal cell
IL6,Mesenchymal cell
ISL1,Mesenchymal cell
JAG1,Mesenchymal cell
KBTBD8,Mesenchymal cell
KITLG,Mesenchymal cell
KLHL12,Mesenchymal cell
LAMA5,Mesenchymal cell
LDLRAD4,Mesenchymal cell
LEF1,Mesenchymal cell
LOXL2,Mesenchymal cell
LOXL3,Mesenchymal cell
LRP6,Mesenchymal cell
MAD2L2,Mesenchymal cell
MAPK1,Mesenchymal cell
MAPK3,Mesenchymal cell
MCRIP1,Mesenchymal cell
MDK,Mesenchymal cell
MEF2C,Mesenchymal cell
MIR144,Mesenchymal cell
MIR149,Mesenchymal cell
MIR21,Mesenchymal cell
MIR221,Mesenchymal cell
MIR222,Mesenchymal cell
MIR29B1,Mesenchymal cell
MIR342,Mesenchymal cell
MIR573,Mesenchymal cell
MIR590,Mesenchymal cell
MSX1,Mesenchymal cell
MTOR,Mesenchymal cell
NKX2-1,Mesenchymal cell
NOG,Mesenchymal cell
NOLC1,Mesenchymal cell
NOTCH1,Mesenchymal cell
NOTCH4,Mesenchymal cell
NRG1,Mesenchymal cell
NRP1,Mesenchymal cell
NRP2,Mesenchymal cell
NRTN,Mesenchymal cell
OLFM1,Mesenchymal cell
OSR1,Mesenchymal cell
OVOL2,Mesenchymal cell
PAX2,Mesenchymal cell
PBLD,Mesenchymal cell
PDCD4,Mesenchymal cell
PDCD6,Mesenchymal cell
PDPN,Mesenchymal cell
PEF1,Mesenchymal cell
PHACTR4,Mesenchymal cell
PHLDB1,Mesenchymal cell
PHLDB2,Mesenchymal cell
PHOX2B,Mesenchymal cell
PITX2,Mesenchymal cell
POFUT2,Mesenchymal cell
PPP2CA,Mesenchymal cell
PTEN,Mesenchymal cell
RADIL,Mesenchymal cell
RANBP3L,Mesenchymal cell
RBPJ,Mesenchymal cell
RDH10,Mesenchymal cell
RET,Mesenchymal cell
RFLNB,Mesenchymal cell
RGCC,Mesenchymal cell
RTN4,Mesenchymal cell
S100A4,Mesenchymal cell
SDCBP,Mesenchymal cell
SDHAF2,Mesenchymal cell
SEMA3A,Mesenchymal cell
SEMA3B,Mesenchymal cell
SEMA3C,Mesenchymal cell
SEMA3D,Mesenchymal cell
SEMA3E,Mesenchymal cell
SEMA3F,Mesenchymal cell
SEMA3G,Mesenchymal cell
SEMA4A,Mesenchymal cell
SEMA4B,Mesenchymal cell
SEMA4C,Mesenchymal cell
SEMA4D,Mesenchymal cell
SEMA4F,Mesenchymal cell
SEMA4G,Mesenchymal cell
SEMA5A,Mesenchymal cell
SEMA5B,Mesenchymal cell
SEMA6A,Mesenchymal cell
SEMA6B,Mesenchymal cell
SEMA6C,Mesenchymal cell
SEMA6D,Mesenchymal cell
SEMA7A,Mesenchymal cell
SERPINB3,Mesenchymal cell
SFRP1,Mesenchymal cell
SFRP2,Mesenchymal cell
SHH,Mesenchymal cell
SIX2,Mesenchymal cell
SMAD2,Mesenchymal cell
SMAD3,Mesenchymal cell
SMAD4,Mesenchymal cell
SMAD7,Mesenchymal cell
SMO,Mesenchymal cell
SNAI1,Mesenchymal cell
SNAI2,Mesenchymal cell
SOX10,Mesenchymal cell
SOX11,Mesenchymal cell
SOX8,Mesenchymal cell
SOX9,Mesenchymal cell
SPRED1,Mesenchymal cell
SPRED2,Mesenchymal cell
SPRED3,Mesenchymal cell
SPRY1,Mesenchymal cell
SPRY2,Mesenchymal cell
STAT1,Mesenchymal cell
STRAP,Mesenchymal cell
TAPT1,Mesenchymal cell
TASOR,Mesenchymal cell
TBX1,Mesenchymal cell
TBX5,Mesenchymal cell
TCF21,Mesenchymal cell
TCF7L2,Mesenchymal cell
TCOF1,Mesenchymal cell
TGFB1,Mesenchymal cell
TGFB1I1,Mesenchymal cell
TGFB2,Mesenchymal cell
TGFB3,Mesenchymal cell
TGFBR1,Mesenchymal cell
TGFBR2,Mesenchymal cell
TGFBR3,Mesenchymal cell
TGFBR3L,Mesenchymal cell
TIAM1,Mesenchymal cell
TMEM100,Mesenchymal cell
TRIM28,Mesenchymal cell
TRIM62,Mesenchymal cell
TWIST1,Mesenchymal cell
USF3,Mesenchymal cell
VASN,Mesenchymal cell
WNT10A,Mesenchymal cell
WNT11,Mesenchymal cell
WNT16,Mesenchymal cell
WNT2,Mesenchymal cell
WNT4,Mesenchymal cell
WNT5A,Mesenchymal cell
WNT8A,Mesenchymal cell
WWTR1,Mesenchymal cell
ZNF703,Mesenchymal cell
ZNF750,Mesenchymal cell
BASP1,Endothelium
BMP4,Endothelium
CITED1,Endothelium
CTNNB1,Endothelium
FZD7,Endothelium
GATA3,Endothelium
GDNF,Endothelium
GREM1,Endothelium
LIF,Endothelium
PAX2,Endothelium
PAX8,Endothelium
PELO,Endothelium
SALL1,Endothelium
SIX2,Endothelium
SMO,Endothelium
STAT1,Endothelium
TCF15,Endothelium
WNT4,Endothelium
WNT9B,Endothelium
WT1,Endothelium
ZEB1,EMT
ZEB2,EMT
TCF4,EMT
AXL,EMT
CDH1,EMT
CDH3,EMT
VIM,EMT
CDH2,EMT
CDH4,EMT
A2M,ECM
ACAN,ECM
ACTN1,ECM
ADAM10,ECM
ADAM12,ECM
ADAM15,ECM
ADAM17,ECM
ADAM19,ECM
ADAM8,ECM
ADAM9,ECM
ADAMTS1,ECM
ADAMTS14,ECM
ADAMTS16,ECM
ADAMTS18,ECM
ADAMTS2,ECM
ADAMTS3,ECM
ADAMTS4,ECM
ADAMTS5,ECM
ADAMTS8,ECM
ADAMTS9,ECM
AGRN,ECM
APP,ECM
ASPN,ECM
BCAN,ECM
BGN,ECM
BMP1,ECM
BMP10,ECM
BMP2,ECM
BMP4,ECM
BMP7,ECM
BSG,ECM
CAPN1,ECM
CAPN10,ECM
CAPN11,ECM
CAPN12,ECM
CAPN13,ECM
CAPN14,ECM
CAPN15,ECM
CAPN2,ECM
CAPN3,ECM
CAPN5,ECM
CAPN6,ECM
CAPN7,ECM
CAPN8,ECM
CAPN9,ECM
CAPNS1,ECM
CAPNS2,ECM
CASK,ECM
CASP3,ECM
CAST,ECM
CD151,ECM
CD44,ECM
CD47,ECM
CDH1,ECM
CEACAM1,ECM
CEACAM6,ECM
CEACAM8,ECM
CMA1,ECM
COL10A1,ECM
COL11A1,ECM
COL11A2,ECM
COL12A1,ECM
COL13A1,ECM
COL14A1,ECM
COL15A1,ECM
COL16A1,ECM
COL17A1,ECM
COL18A1,ECM
COL19A1,ECM
COL1A1,ECM
COL1A2,ECM
COL20A1,ECM
COL21A1,ECM
COL22A1,ECM
COL23A1,ECM
COL24A1,ECM
COL25A1,ECM
COL26A1,ECM
COL27A1,ECM
COL28A1,ECM
COL2A1,ECM
COL3A1,ECM
COL4A1,ECM
COL4A2,ECM
COL4A3,ECM
COL4A4,ECM
COL4A5,ECM
COL4A6,ECM
COL5A1,ECM
COL5A2,ECM
COL5A3,ECM
COL6A1,ECM
COL6A2,ECM
COL6A3,ECM
COL6A5,ECM
COL6A6,ECM
COL7A1,ECM
COL8A1,ECM
COL8A2,ECM
COL9A1,ECM
COL9A2,ECM
COL9A3,ECM
COLGALT1,ECM
COLGALT2,ECM
COMP,ECM
CRTAP,ECM
CTRB1,ECM
CTRB2,ECM
CTSB,ECM
CTSD,ECM
CTSG,ECM
CTSK,ECM
CTSL,ECM
CTSS,ECM
CTSV,ECM
DAG1,ECM
DCN,ECM
DDR1,ECM
DDR2,ECM
DMD,ECM
DMP1,ECM
DSPP,ECM
DST,ECM
EFEMP1,ECM
EFEMP2,ECM
ELANE,ECM
ELN,ECM
EMILIN1,ECM
EMILIN2,ECM
EMILIN3,ECM
F11R,ECM
FBLN1,ECM
FBLN2,ECM
FBLN5,ECM
FBN1,ECM
FBN2,ECM
FBN3,ECM
FGA,ECM
FGB,ECM
FGF2,ECM
FGG,ECM
FMOD,ECM
FN1,ECM
FURIN,ECM
GDF5,ECM
HAPLN1,ECM
HSPG2,ECM
HTRA1,ECM
IBSP,ECM
ICAM1,ECM
ICAM2,ECM
ICAM3,ECM
ICAM4,ECM
ICAM5,ECM
ITGA1,ECM
ITGA10,ECM
ITGA11,ECM
ITGA2,ECM
ITGA2B,ECM
ITGA3,ECM
ITGA4,ECM
ITGA5,ECM
ITGA6,ECM
ITGA7,ECM
ITGA8,ECM
ITGA9,ECM
ITGAD,ECM
ITGAE,ECM
ITGAL,ECM
ITGAM,ECM
ITGAV,ECM
ITGAX,ECM
ITGB1,ECM
ITGB2,ECM
ITGB3,ECM
ITGB4,ECM
ITGB5,ECM
ITGB6,ECM
ITGB7,ECM
ITGB8,ECM
JAM2,ECM
JAM3,ECM
KDR,ECM
KLK2,ECM
KLK7,ECM
KLKB1,ECM
LAMA1,ECM
LAMA2,ECM
LAMA3,ECM
LAMA4,ECM
LAMA5,ECM
LAMB1,ECM
LAMB2,ECM
LAMB3,ECM
LAMC1,ECM
LAMC2,ECM
LAMC3,ECM
LOX,ECM
LOXL1,ECM
LOXL2,ECM
LOXL3,ECM
LOXL4,ECM
LRP4,ECM
LTBP1,ECM
LTBP2,ECM
LTBP3,ECM
LTBP4,ECM
LUM,ECM
MADCAM1,ECM
MATN1,ECM
MATN3,ECM
MATN4,ECM
MFAP1,ECM
MFAP2,ECM
MFAP3,ECM
MFAP4,ECM
MFAP5,ECM
MMP1,ECM
MMP10,ECM
MMP11,ECM
MMP12,ECM
MMP13,ECM
MMP14,ECM
MMP15,ECM
MMP16,ECM
MMP17,ECM
MMP19,ECM
MMP2,ECM
MMP20,ECM
MMP24,ECM
MMP25,ECM
MMP3,ECM
MMP7,ECM
MMP8,ECM
MMP9,ECM
MUSK,ECM
NCAM1,ECM
NCAN,ECM
NCSTN,ECM
NID1,ECM
NID2,ECM
NRXN1,ECM
NTN4,ECM
OPTC,ECM
P3H1,ECM
P3H2,ECM
P3H3,ECM
P4HA1,ECM
P4HA2,ECM
P4HA3,ECM
P4HB,ECM
PCOLCE,ECM
PCOLCE2,ECM
PDGFA,ECM
PDGFB,ECM
PECAM1,ECM
PHYKPL,ECM
PLEC,ECM
PLG,ECM
PLOD1,ECM
PLOD2,ECM
PLOD3,ECM
PPIB,ECM
PRKCA,ECM
PRSS1,ECM
PRSS2,ECM
PSEN1,ECM
PTPRS,ECM
PXDN,ECM
SCUBE1,ECM
SCUBE3,ECM
SDC1,ECM
SDC2,ECM
SDC3,ECM
SDC4,ECM
SERPINE1,ECM
SERPINH1,ECM
SH3PXD2A,ECM
SPARC,ECM
SPOCK3,ECM
SPP1,ECM
TGFB1,ECM
TGFB2,ECM
TGFB3,ECM
THBS1,ECM
TIMP1,ECM
TIMP2,ECM
TLL1,ECM
TLL2,ECM
TMPRSS6,ECM
TNC,ECM
TNN,ECM
TNR,ECM
TNXB,ECM
TPSAB1,ECM
TRAPPC4,ECM
TTR,ECM
VCAM1,ECM
VCAN,ECM
VTN,ECM
VWF,ECM
A2M,Matrix remodeling
ACAN,Matrix remodeling
ADAM10,Matrix remodeling
ADAM15,Matrix remodeling
ADAM17,Matrix remodeling
ADAM8,Matrix remodeling
ADAM9,Matrix remodeling
ADAMTS1,Matrix remodeling
ADAMTS16,Matrix remodeling
ADAMTS18,Matrix remodeling
ADAMTS4,Matrix remodeling
ADAMTS5,Matrix remodeling
ADAMTS8,Matrix remodeling
ADAMTS9,Matrix remodeling
BCAN,Matrix remodeling
BMP1,Matrix remodeling
BSG,Matrix remodeling
CAPN1,Matrix remodeling
CAPN10,Matrix remodeling
CAPN11,Matrix remodeling
CAPN12,Matrix remodeling
CAPN13,Matrix remodeling
CAPN14,Matrix remodeling
CAPN15,Matrix remodeling
CAPN2,Matrix remodeling
CAPN3,Matrix remodeling
CAPN5,Matrix remodeling
CAPN6,Matrix remodeling
CAPN7,Matrix remodeling
CAPN8,Matrix remodeling
CAPN9,Matrix remodeling
CAPNS1,Matrix remodeling
CAPNS2,Matrix remodeling
CASP3,Matrix remodeling
CAST,Matrix remodeling
CD44,Matrix remodeling
CDH1,Matrix remodeling
CMA1,Matrix remodeling
COL10A1,Matrix remodeling
COL11A1,Matrix remodeling
COL11A2,Matrix remodeling
COL12A1,Matrix remodeling
COL13A1,Matrix remodeling
COL14A1,Matrix remodeling
COL15A1,Matrix remodeling
COL16A1,Matrix remodeling
COL17A1,Matrix remodeling
COL18A1,Matrix remodeling
COL19A1,Matrix remodeling
COL1A1,Matrix remodeling
COL1A2,Matrix remodeling
COL23A1,Matrix remodeling
COL25A1,Matrix remodeling
COL26A1,Matrix remodeling
COL2A1,Matrix remodeling
COL3A1,Matrix remodeling
COL4A1,Matrix remodeling
COL4A2,Matrix remodeling
COL4A3,Matrix remodeling
COL4A4,Matrix remodeling
COL4A5,Matrix remodeling
COL4A6,Matrix remodeling
COL5A1,Matrix remodeling
COL5A2,Matrix remodeling
COL5A3,Matrix remodeling
COL6A1,Matrix remodeling
COL6A2,Matrix remodeling
COL6A3,Matrix remodeling
COL6A5,Matrix remodeling
COL6A6,Matrix remodeling
COL7A1,Matrix remodeling
COL8A1,Matrix remodeling
COL8A2,Matrix remodeling
COL9A1,Matrix remodeling
COL9A2,Matrix remodeling
COL9A3,Matrix remodeling
CTRB1,Matrix remodeling
CTRB2,Matrix remodeling
CTSB,Matrix remodeling
CTSD,Matrix remodeling
CTSG,Matrix remodeling
CTSK,Matrix remodeling
CTSL,Matrix remodeling
CTSS,Matrix remodeling
CTSV,Matrix remodeling
DCN,Matrix remodeling
ELANE,Matrix remodeling
ELN,Matrix remodeling
FBN1,Matrix remodeling
FBN2,Matrix remodeling
FBN3,Matrix remodeling
FN1,Matrix remodeling
FURIN,Matrix remodeling
HSPG2,Matrix remodeling
HTRA1,Matrix remodeling
KLK2,Matrix remodeling
KLK7,Matrix remodeling
KLKB1,Matrix remodeling
LAMA3,Matrix remodeling
LAMA5,Matrix remodeling
LAMB1,Matrix remodeling
LAMB3,Matrix remodeling
LAMC1,Matrix remodeling
LAMC2,Matrix remodeling
MMP1,Matrix remodeling
MMP10,Matrix remodeling
MMP11,Matrix remodeling
MMP12,Matrix remodeling
MMP13,Matrix remodeling
MMP14,Matrix remodeling
MMP15,Matrix remodeling
MMP16,Matrix remodeling
MMP17,Matrix remodeling
MMP19,Matrix remodeling
MMP2,Matrix remodeling
MMP20,Matrix remodeling
MMP24,Matrix remodeling
MMP25,Matrix remodeling
MMP3,Matrix remodeling
MMP7,Matrix remodeling
MMP8,Matrix remodeling
MMP9,Matrix remodeling
NCSTN,Matrix remodeling
NID1,Matrix remodeling
OPTC,Matrix remodeling
PHYKPL,Matrix remodeling
PLG,Matrix remodeling
PRSS1,Matrix remodeling
PRSS2,Matrix remodeling
PSEN1,Matrix remodeling
SCUBE1,Matrix remodeling
SCUBE3,Matrix remodeling
SPOCK3,Matrix remodeling
SPP1,Matrix remodeling
TIMP1,Matrix remodeling
TIMP2,Matrix remodeling
TLL1,Matrix remodeling
TLL2,Matrix remodeling
TMPRSS6,Matrix remodeling
TPSAB1,Matrix remodeling
ACTB,Cell and ECM interactions
ACTG1,Cell and ECM interactions
ACTN1,Cell and ECM interactions
ARHGEF6,Cell and ECM interactions
FBLIM1,Cell and ECM interactions
FERMT2,Cell and ECM interactions
FLNA,Cell and ECM interactions
FLNC,Cell and ECM interactions
ILK,Cell and ECM interactions
ITGB1,Cell and ECM interactions
LIMS1,Cell and ECM interactions
LIMS2,Cell and ECM interactions
PARVA,Cell and ECM interactions
PARVB,Cell and ECM interactions
PXN,Cell and ECM interactions
RSU1,Cell and ECM interactions
TESK1,Cell and ECM interactions
VASP,Cell and ECM interactions
PRF1,Cytolytic activity
GZMA,Cytolytic activity
BTLA,Checkpoint molecules
CD274,Checkpoint molecules
CTLA4,Checkpoint molecules
HAVCR2,Checkpoint molecules
LAG3,Checkpoint molecules
PDCD1,Checkpoint molecules
PDCD1LG2,Checkpoint molecules
TIGIT,Checkpoint molecules
VSIR,Checkpoint molecules
C10orf54,Immunostimulator
CD27,Immunostimulator
CD276,Immunostimulator
CD28,Immunostimulator
CD40,Immunostimulator
CD40LG,Immunostimulator
CD48,Immunostimulator
CD70,Immunostimulator
CD80,Immunostimulator
CD86,Immunostimulator
CXCL12,Immunostimulator
CXCR4,Immunostimulator
ENTPD1,Immunostimulator
HHLA2,Immunostimulator
ICOS,Immunostimulator
ICOSLG,Immunostimulator
IL2RA,Immunostimulator
IL6,Immunostimulator
IL6R,Immunostimulator
KLRC1,Immunostimulator
KLRK1,Immunostimulator
LTA,Immunostimulator
MICB,Immunostimulator
NT5E,Immunostimulator
PVR,Immunostimulator
RAET1E,Immunostimulator
TMEM173,Immunostimulator
TMIGD2,Immunostimulator
TNFRSF13B,Immunostimulator
TNFRSF13C,Immunostimulator
TNFRSF14,Immunostimulator
TNFRSF17,Immunostimulator
TNFRSF18,Immunostimulator
TNFRSF25,Immunostimulator
TNFRSF4,Immunostimulator
TNFRSF8,Immunostimulator
TNFRSF9,Immunostimulator
TNFSF13,Immunostimulator
TNFSF13B,Immunostimulator
TNFSF14,Immunostimulator
TNFSF15,Immunostimulator
TNFSF18,Immunostimulator
TNFSF4,Immunostimulator
TNFSF9,Immunostimulator
ULBP1,Immunostimulator
TNF,Antitumor cytokines
IFNB1,Antitumor cytokines
IFNA2,Antitumor cytokines
CCL3,Antitumor cytokines
TNFSF10,Antitumor cytokines
IL21,Antitumor cytokines
IL10,Protumor cytokines
TGFB1,Protumor cytokines
TGFB2,Protumor cytokines
TGFB3,Protumor cytokines
IL22,Protumor cytokines
MIF,Protumor cytokines
IL6,Protumor cytokines
CCL1,Chemokine
CCL2,Chemokine
CCL3,Chemokine
CCL4,Chemokine
CCL5,Chemokine
CCL7,Chemokine
CCL8,Chemokine
CCL11,Chemokine
CCL13,Chemokine
CCL14,Chemokine
CCL15,Chemokine
CCL16,Chemokine
CCL17,Chemokine
CCL18,Chemokine
CCL19,Chemokine
CCL20,Chemokine
CCL21,Chemokine
CCL22,Chemokine
CCL23,Chemokine
CCL24,Chemokine
CCL25,Chemokine
CCL26,Chemokine
CCL27,Chemokine
CCL28,Chemokine
CX3CL1,Chemokine
CXCL1,Chemokine
CXCL2,Chemokine
CXCL3,Chemokine
CXCL5,Chemokine
CXCL6,Chemokine
CXCL8,Chemokine
CXCL9,Chemokine
CXCL10,Chemokine
CXCL11,Chemokine
CXCL12,Chemokine
CXCL13,Chemokine
CXCL14,Chemokine
CXCL16,Chemokine
CXCL17,Chemokine
XCL1,Chemokine
XCL2,Chemokine
CCR1,Chemokine receptor
CCR2,Chemokine receptor
CCR3,Chemokine receptor
CCR4,Chemokine receptor
CCR5,Chemokine receptor
CCR6,Chemokine receptor
